album.id,song.id
300848,SOMZWCG12A8C13C480
300822,SOCIWDW12A8C13D406
514953,SOXVLOJ12AB0189215
287650,SONHOTT12A8C13493C
611336,SOFSOCN12A8C143F5D
41838,SOYMRWW12A6D4FAB14
25824,SOMJBYD12A6D4F8557
8876,SOHKNRJ12A6701D1F8
358182,SOIAZJW12AB01853F1
692313,SOUDSGM12AC9618304
539081,SOQHXMF12AB0182363
163874,SOKEJEJ12A8C13E0D0
575792,SOMUYGI12AB0188633
815863,SORAMLE12AB017C8B0
25811,SOBONFF12A6D4F84D8
135122,SOHUOAP12A8AE488E9
149958,SOUQQEA12A8C134B1B
535188,SOILPQQ12AB017E82A
372309,SOXLBJT12A8C140925
541101,SOZVMJI12AB01808AF
605134,SOWTBJW12AC468AC6E
239740,SOBEBDG12A58A76D60
386995,SOZCTXZ12AB0182364
223365,SOBBUGU12A8C13E95D
652784,SOBLGCN12AB0183212
45730,SOPSWQW12A6D4F8781
672016,SOZQDIU12A58A7BCF6
160881,SONYPOM12A8C13B2D7
59744,SOBZBAZ12A6D4F8742
373723,SOVYKGO12AB0187199
228326,SOGNCJP12A58A80271
463514,SOLLHMX12AB01846DC
643400,SOYTPEP12AB0180E7B
663761,SOGXHEG12AB018653E
12882,SOOLYAZ12A6701F4A6
270281,SOGOSOV12AF72A285E
244586,SOJXVAH12A8C139700
157648,SOVXMTN12A8C135A18
644631,SORSECL12AB0182267
730551,SOOGFBZ12AC3DF7FF2
709879,SOMSBGZ12AB018C4CB
706005,SONYRZV12AB018AF70
42595,SONQBUB12A6D4F8ED0
782470,SOHGKJW12AC468A8BD
28723,SOINBCU12A6D4F94C0
557761,SOTWVQT12A58A79650
417945,SOTSEJY12AB0180F56
575531,SOTSETT12AB01863B8
234425,SOTUNMH12A6D4FA3E6
505301,SOEPPKB12AB018418B
74655,SOGKIWV12A6D4F86C4
322532,SOPHYIS12AAF3B35A3
14592,SOFHBAR12A6701D0FE
515081,SOCPRKM12AB018A2FD
765750,SOFGHAM12AB0186412
17220,SODHVES12A6701CE6B
617077,SOXIATP12AAF3B2184
278999,SOGNQWU12A8AE4868F
19601,SOYQOFI12A6D4F76E1
38599,SOVOLGY12A6D4F822B
619882,SOMZCVH12AB0182B8E
618615,SONXJBL12AAF3B2C0C
681639,SOYWZTU12AB0180E26
449471,SOLGHDZ12AB0183B11
321356,SOTNTNJ12AAA15FBD6
530141,SOXZXXV12AAF3B3A67
104765,SOPIKEG12A58291636
695158,SOIRNBO12AC468D207
509770,SOSBDSF12AB0189007
223779,SOIJXXM12A8C1416D6
466577,SOHMMMC12AB0181C42
148547,SOVJXVJ12A8C13517D
423012,SOFZCTA12AB0188D8F
7133,SOLRYQR12A670215BF
358442,SOCHRXB12A8AE48069
15567,SOKBBXO12A6701DEA0
413222,SOWHYUG12A58A77FAB
80578,SOYSTDI12A6D4F6500
26902,SOOOROX12A6D4F8400
633532,SONSPZE12AB01819CE
435830,SOHWGFU12AB017B036
495734,SOQQVQJ12AB0185192
664484,SODRHHD12AB0189F2A
112851,SOQGFVO12A8C13C8C3
200689,SORABMD12A8C136672
682725,SOTUBVH12AB018D2EC
287804,SOMQAGT12A8C132DB4
220917,SOKLLOH12A67020F2C
629785,SONRLQH12AB017C232
11305,SODDZAD12A6701DC4C
4967,SORENXV12A6701F61F
325335,SOYMMDY12AB01825B2
82932,SOJWQIP12A6D4F710A
401583,SOOVOKS12AB017EE57
8552,SORWHWY12A6702038E
217058,SOGYYLE12A8C13E5EA
489673,SOITUXQ12AB0183AE9
475992,SOTWEZZ12A8C142B60
495041,SOUVRGZ12A58A77F90
225610,SOBLTSM12A6D4F9EEA
473710,SOUQVUD12A8C142DCE
710902,SOCRPDR12AB0185B75
341940,SOXVBVL12AF72A600C
766444,SOIQHDR12AB01896C8
432406,SODLSHA12AAF3B29F2
546663,SOAGHMH12AB0180285
548374,SORAVUP12AB018556E
704183,SOFXNQP12AB0184F1A
307618,SOGQTRZ12A8C13C8B0
784530,SOBHVZQ12AC9618285
534470,SOYPBCY12AB0181EF3
599659,SOWRLSY12AC4687694
372122,SOOGQWR12A8C142505
577023,SOJDYQY12AB0188C97
572855,SOBHQUF12AB018B03E
523481,SOFRAZJ12A8C143CDB
219943,SONNDHT12A8C13F20B
266932,SOYZOXW12A8C13E195
514801,SOSGJTX12AB0181F7C
421962,SOBQBWP12AB018611B
502384,SODULLV12AB017FA09
254792,SOYAGJM12A8C13DCCE
138320,SORXUZZ12A8AE4798A
722546,SOCHXAE12AF72A25D6
46647,SOCRHCQ12A58A7C8C6
547104,SOSEJIQ12AB017E7EB
683402,SOMXWXQ12AC3DFA002
128198,SOGMXBW12A6D4FB8D7
818344,SOOPUTF12AB018DFAA
762520,SOFDTRZ12AB018DD11
293668,SOOGNJP12A8C1381AD
117983,SOFUBCP12A8C13D5EF
6949,SOVZBDR12A6702012E
735425,SOPWKSS12AC468E659
158078,SOCCQIQ12A8C13C76B
199953,SODBMZD12A8C134232
329135,SOBUWPY12A8C1446C0
276924,SORWXUP12A58A79E65
193554,SOJEVZW12A8C133988
409813,SOOODKC12AB018462F
440990,SODOLVO12B0B80B2F4
302176,SOEHWGF12A6D4F8B2B
124344,SOOZLTC12A6D4FBE91
762519,SOOSYMY12AB01888CD
177029,SOPBKEB12A6D4FD777
517150,SOEWQYW12AB0183FDE
512234,SOFBQIA12AB0182219
517488,SOHDDHR12AB0183552
776019,SONWQQX12AC3DF6762
696947,SOGXFIF12A58A78CC4
477268,SOIPNSZ12A8C144128
281713,SOEXSIN12A8C133B0A
492999,SOTSMNJ12AB018365E
120640,SOLGRUN12A8C140543
789426,SOQCHGV12AC4688FC6
785362,SOXCWTT12AC9075756
298921,SOAFIPD12A8C13A261
162273,SOMJPML12A8C13D74E
605167,SOCVDYI12AC4687DDB
474726,SOEVGMZ12A8C1421B5
364642,SOCGURJ12AB0182AEE
307651,SOHTWLT12A8C13CFE1
614890,SOVQZYP12A8C144692
538734,SOHHANU12A58A77C66
767591,SOTHWPG12AB018C90E
554760,SOOQHNV12AB0186CD4
528941,SOSGXRU12AAF3B2B07
293622,SOFRUDU12A8C13A40C
472444,SONXLQQ12AB0184B54
763206,SOKPHVH12AB0187460
239244,SOIUGDX12A6D4FDECA
329967,SOAYYDM12AB01817E6
71267,SORAJXA12A58A7A4C9
282150,SODJUNF12A8C13337F
46723,SOVDDWO12A6D4F9A78
575880,SOFGQAP12AB0185946
539974,SORGLCR12AB0184B69
558289,SOLBIIE12AB0184DFC
275722,SORHOEV12A81C20F71
179267,SOFPYXC12A58A7A4B9
517634,SOFQGCQ12AB0183609
686750,SOEBDBO12AC4688712
766687,SONIQSB12AB0189829
545429,SOYNEII12AB0181DB6
15567,SOKIGWD12A6701DE9D
789959,SOHXKAN12AC46872F1
259476,SOQZHMH12A8C13A393
534031,SOLEYPL12A6D4F83CE
23134,SOZFCNC12A6D4F76F3
220650,SOPUQFS12A8C13DE1E
515188,SOPNRDT12AB018A2D8
